a,b,c,d,e
Kundan Edifice Ltd,,KEL,Consumer Electronics,https://halalstock.in/is-kundan-edifice-ltd-halal-and-shariah-compliant/
KUNSTSTOFFE INDUSTRIES LTD.,KUNSTOFF,,Plastics Products,https://halalstock.in/is-kunststoffe-industries-ltd-halal-and-shariah-compliant/
KVS Castings Ltd.,KVSCASTING,,Castings &amp; Forgings,https://halalstock.in/is-kvs-castings-ltd-halal-and-shariah-compliant/
KWALITY PHARMACEUTICALS LTD,KPL,,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-kwality-pharmaceuticals-ltd-halal-and-shariah-compliant/
L&amp;T TECHNOLOGY SERVICES LTD,LTTS,LTTS,Computers - Software - Medium / Small,https://halalstock.in/is-lt-technology-services-ltd-halal-and-shariah-compliant/
L. T. Elevator Ltd,LTELEVATOR,,Industrial Products,https://halalstock.in/is-l-t-elevator-ltd-halal-and-shariah-compliant/
L.G.BALAKRISHNAN &amp; BROS.LTD.,LGBBROSLTD,LGBBROSLTD,Auto Ancillaries,https://halalstock.in/is-l-g-balakrishnan-bros-ltd-halal-and-shariah-compliant/
L.K.Mehta Polymers Ltd,LKMEHTA,,Plastic Products - Industrial,https://halalstock.in/is-l-k-mehta-polymers-ltd-halal-and-shariah-compliant/
LA OPALA RG LTD.,LAOPALA,LAOPALA,Glass &amp; Glass Products,https://halalstock.in/is-la-opala-rg-ltd-halal-and-shariah-compliant/
LA TIM METAL &amp; INDUSTRIES LTD,LATIMMETAL,,Trading,https://halalstock.in/is-la-tim-metal-industries-ltd-halal-and-shariah-compliant/
Labelkraft Technologies Ltd,LABELKRAFT,,Paper &amp; Paper Products,https://halalstock.in/is-labelkraft-technologies-ltd-halal-and-shariah-compliant/
LAKHOTIA POLYESTERS (INDIA) LTD.,LAKHOTIA,,Textiles - Spinning - Synthetic / Blended,https://halalstock.in/is-lakhotia-polyesters-india-ltd-halal-and-shariah-compliant/
LAKSHMI AUTOMATIC LOOM WORKS LTD.,LXMIATO,,Textile Machinery,https://halalstock.in/is-lakshmi-automatic-loom-works-ltd-halal-and-shariah-compliant/
Lakshya Powertech Limited,,Lakshya,Civil Construction,https://halalstock.in/is-lakshya-powertech-limited-halal-and-shariah-compliant/
Lamosaic India Limited,,LAMOSAIC,Plywood Boards/ Laminates,https://halalstock.in/is-lamosaic-india-limited-halal-and-shariah-compliant/
LANCER CONTAINER LINES LTD,LANCER,,Miscellaneous,https://halalstock.in/is-lancer-container-lines-ltd-halal-and-shariah-compliant/
Landmark Immigration Consultants Ltd,LICL,,"Tour, Travel Related Services",https://halalstock.in/is-landmark-immigration-consultants-ltd-halal-and-shariah-compliant/
LASA SUPERGENERICS LTD,LASA,LASA,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-lasa-supergenerics-ltd-halal-and-shariah-compliant/
LATTEYS INDUSTRI,,LATTEYS,Engineering,https://halalstock.in/is-latteys-industri-halal-and-shariah-compliant/
LAURUS LABS LTD,LAURUSLABS,LAURUSLABS,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-laurus-labs-ltd-halal-and-shariah-compliant/
Laxmi Dental Ltd,LAXMIDENTL,LAXMIDENTL,Medical Equipment &amp; Supplies,https://halalstock.in/is-laxmi-dental-ltd-halal-and-shariah-compliant/
LAXMI GOLDORNA,,LGHL,Diamond Cutting / Jewellery,https://halalstock.in/is-laxmi-goldorna-halal-and-shariah-compliant/
LAXMI ORGANIC INDUSTRIES LTD,LXCHEM,LXCHEM,Chemicals,https://halalstock.in/is-laxmi-organic-industries-ltd-halal-and-shariah-compliant/
LAXMIPATI ENGINEERING WORKS LTD,LAXMIPATI,,Miscellaneous,https://halalstock.in/is-laxmipati-engineering-works-ltd-halal-and-shariah-compliant/
LE LAVOIR LTD,LELAVOIR,,Trading,https://halalstock.in/is-le-lavoir-ltd-halal-and-shariah-compliant/
Le Merite Export,,LEMERITE,Trading,https://halalstock.in/is-le-merite-export-halal-and-shariah-compliant/
LE TRAVENUES TECHNOLOGY LIMITED,IXIGO,IXIGO,Tour Travel Related Services,https://halalstock.in/is-le-travenues-technology-limited-halal-and-shariah-compliant/
Lead Reclaim and Rubber Products Ltd,,LRRPL,Rubber,https://halalstock.in/is-lead-reclaim-and-rubber-products-ltd-halal-and-shariah-compliant/
LEHAR FOOTWEARS LTD,LEHAR,,Leather / Leather Products,https://halalstock.in/is-lehar-footwears-ltd-halal-and-shariah-compliant/
LEMON TREE HOTELS LTD,LEMONTREE,LEMONTREE,Hotels,https://halalstock.in/is-lemon-tree-hotels-ltd-halal-and-shariah-compliant/
Lenskart Solutions Limited,LENSKART,LENSKART,Speciality Retail,https://halalstock.in/is-lenskart-solutions-limited-halal-and-shariah-compliant/
Leo Dryfruits &amp; Spices Trading Ltd,VANDU,,Other Food Products,https://halalstock.in/is-leo-dryfruits-spices-trading-ltd-halal-and-shariah-compliant/
LESHA INDUSTRIES LTD.,LESHAIND,,Trading,https://halalstock.in/is-lesha-industries-ltd-halal-and-shariah-compliant/
LG Electronics India Ltd.,LGEINDIA,LGEINDIA,Household Appliances,https://halalstock.in/is-lg-electronics-india-ltd-halal-and-shariah-compliant/
LGB FORGE LTD.,LGBFORGE,LGBFORGE,Castings &amp; Forgings,https://halalstock.in/is-lgb-forge-ltd-halal-and-shariah-compliant/
LGT Business Connextions Ltd,LGT,,"Tour, Travel Related Services",https://halalstock.in/is-lgt-business-connextions-ltd-halal-and-shariah-compliant/
LIBERTY SHOES LTD.,LIBERTSHOE,LIBERTSHOE,Leather / Leather Products,https://halalstock.in/is-liberty-shoes-ltd-halal-and-shariah-compliant/
LIKHITHA INFRASTRUCTURE LTD,LIKHITHA,LIKHITHA,Construction,https://halalstock.in/is-likhitha-infrastructure-ltd-halal-and-shariah-compliant/
LIME CHEMICALS LTD.,LIMECHM,,Chemicals,https://halalstock.in/is-lime-chemicals-ltd-halal-and-shariah-compliant/
Linc Ltd,LINCPENQ,LINC,Printing &amp; Stationery,https://halalstock.in/is-linc-ltd-halal-and-shariah-compliant/
LINCOLN PHARMACEUTICALS LTD.,LINCOPH,LINCOLN,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-lincoln-pharmaceuticals-ltd-halal-and-shariah-compliant/
LINDE INDIA LIMITED,LINDEINDIA,LINDEINDIA,Chemicals,https://halalstock.in/is-linde-india-limited-halal-and-shariah-compliant/
LIPPI SYSTEMS LTD.,LIPPISYS,,Engineering,https://halalstock.in/is-lippi-systems-ltd-halal-and-shariah-compliant/
Lloyds Engineering Works Ltd,LLOYDSENGG,LLOYDSENGG,Steel - Medium / Small,https://halalstock.in/is-lloyds-engineering-works-ltd-halal-and-shariah-compliant/
Lloyds Enterprises Ltd.,LLOYDSENT,LLOYDSENT,Trading,https://halalstock.in/is-lloyds-enterprises-ltd-halal-and-shariah-compliant/
LLOYDS LUXURIES LIMITED,,LLOYDS,Wellness,https://halalstock.in/is-lloyds-luxuries-limited-halal-and-shariah-compliant/
LLOYDS METALS AND ENERGY LTD.,LLOYDSME,LLOYDSME,Steel - Sponge Iron,https://halalstock.in/is-lloyds-metals-and-energy-ltd-halal-and-shariah-compliant/
LMW LTD.,LMW,LMW,Textile Machinery,https://halalstock.in/is-lmw-ltd-halal-and-shariah-compliant/
LORENZINI APPARELS LTD,LAL,LAL,Textiles - Processing,https://halalstock.in/is-lorenzini-apparels-ltd-halal-and-shariah-compliant/
LOTUS CHOCOLATE CO.LTD.,LOTUSCHO,,Food - Processing - Indian,https://halalstock.in/is-lotus-chocolate-co-ltd-halal-and-shariah-compliant/
LOTUS EYE HOSPITAL AND INSTITUTE LTD,LEHIL,LOTUSEYE,Healthcare,https://halalstock.in/is-lotus-eye-hospital-and-institute-ltd-halal-and-shariah-compliant/
LOVABLE LINGERIE LTD.,LOVABLE,LOVABLE,Textiles - Products,https://halalstock.in/is-lovable-lingerie-ltd-halal-and-shariah-compliant/
LOYAL EQUIPMENTS LTD,LOYAL,,Engineering,https://halalstock.in/is-loyal-equipments-ltd-halal-and-shariah-compliant/
LT FOODS LTD.,LTFOODS,LTFOODS,Food - Processing - Indian,https://halalstock.in/is-lt-foods-ltd-halal-and-shariah-compliant/
LTIMindtree Ltd,LTIM,LTIM,Computers - Software - Large,https://halalstock.in/is-larsen-toubro-infotech-ltd-halal-and-shariah-compliant/
LUMAX AUTO TECHNOLOGIES LTD.,LUMAXTECH,LUMAXTECH,Auto Ancillaries,https://halalstock.in/is-lumax-auto-technologies-ltd-halal-and-shariah-compliant/
LUMAX INDUSTRIES LTD.,LUMAXIND,LUMAXIND,Auto Ancillaries,https://halalstock.in/is-lumax-industries-ltd-halal-and-shariah-compliant/
LUPIN LTD.,LUPIN,LUPIN,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-lupin-ltd-halal-and-shariah-compliant/
LUX INDUSTRIES LTD,LUXIND,LUXIND,Textiles - Composite,https://halalstock.in/is-lux-industries-ltd-halal-and-shariah-compliant/
LYKA LABS LTD.,LYKALABS,LYKALABS,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-lyka-labs-ltd-halal-and-shariah-compliant/
M &amp; B Engineering Ltd,MBEL,MBEL,Civil Construction,https://halalstock.in/is-m-b-engineering-ltd-halal-and-shariah-compliant/
M K PROTEINS LIMITED,,MKPL,Edible Oil,https://halalstock.in/is-m-k-proteins-limited-halal-and-shariah-compliant/
M P K Steels (I) Ltd.,MPKSTEELS,,Iron &amp; Steel Products,https://halalstock.in/is-m-p-k-steels-i-ltd-halal-and-shariah-compliant/
M.M.FORGINGS LTD.,MMFL,MMFL,Castings &amp; Forgings,https://halalstock.in/is-m-m-forgings-ltd-halal-and-shariah-compliant/
Maagh Advertising &amp; Marketing Services Ltd,MAAGHADV,,Advertising &amp; Media Agencies,https://halalstock.in/is-maagh-advertising-marketing-services-ltd-halal-and-shariah-compliant/
MAAN ALUMINIUM LTD.,MAANALU,MAANALU,Aluminium and Aluminium Products,https://halalstock.in/is-maan-aluminium-ltd-halal-and-shariah-compliant/
Macfos Ltd,ROBU,,E-Retail/ E-Commerce,https://halalstock.in/is-macfos-ltd-halal-and-shariah-compliant/
Mach Conferences And Events Ltd,MCEL,,Other Consumer Services,https://halalstock.in/is-mach-conferences-and-events-ltd-halal-and-shariah-compliant/
Macobs Technologies Limited,,MACOBSTECH,Personal Care,https://halalstock.in/is-macobs-technologies-limited-halal-and-shariah-compliant/
MACPOWER CNC,,MACPOWER,Engineering,https://halalstock.in/is-macpower-cnc-halal-and-shariah-compliant/
MACROTECH DEVELOPERS LTD,LODHA,LODHA,Construction,https://halalstock.in/is-macrotech-developers-ltd-halal-and-shariah-compliant/
MADHUR INDUSTRIES LTD.,MADHURIND,,Food - Processing - Indian,https://halalstock.in/is-madhur-industries-ltd-halal-and-shariah-compliant/
Madhusudan Masala Ltd,,MADHUSUDAN,Other Food Products,https://halalstock.in/is-madhusudan-masala-ltd-halal-and-shariah-compliant/
MADHYA BHARAT AGRO PRODUCTS LIMITED,,MBAPL,Fertilizers &amp; Agrochemicals,https://halalstock.in/is-madhya-bharat-agro-products-limited-halal-and-shariah-compliant/
MADHYA PRAD. TOD,,MPTODAY,Entertainment / Electronic Media Software,https://halalstock.in/is-madhya-prad-tod-halal-and-shariah-compliant/
MAESTROS ELECTRONICS &amp; TELECOMMUNICATIONS SYSTEMS LTD,METSL,,Miscellaneous,https://halalstock.in/is-maestros-electronics-telecommunications-systems-ltd-halal-and-shariah-compliant/
MAFATLAL INDUSTRIES LTD.,MAFATIND,,Textiles - Composite,https://halalstock.in/is-mafatlal-industries-ltd-halal-and-shariah-compliant/
MAGELLANIC CLOUD LTD,MCLOUD,,Computers - Software &amp; Consulting,https://halalstock.in/is-magellanic-cloud-ltd-halal-and-shariah-compliant/
Magenta Lifecare Ltd,MAGENTA,,"Furniture, Home Furnishing",https://halalstock.in/is-magenta-lifecare-ltd-halal-and-shariah-compliant/
MAGNA ELECTRO CASTINGS LTD.,MAGNAELQ,,Castings &amp; Forgings,https://halalstock.in/is-magna-electro-castings-ltd-halal-and-shariah-compliant/
Magson Retail and Distribution Ltd,,MAGSON,Packaged Foods,https://halalstock.in/is-magson-retail-and-distribution-ltd-halal-and-shariah-compliant/
Mahamaya Lifesciences Limited,MAHALIFE,,Pesticides &amp; Agrochemicals,https://halalstock.in/is-mahamaya-lifesciences-limited-halal-and-shariah-compliant/
MAHAMAYA STEEL INDUSTRIES LTD.,MAHASTEEL,MAHASTEEL,Steel - Medium / Small,https://halalstock.in/is-mahamaya-steel-industries-ltd-halal-and-shariah-compliant/
MAHANAGAR GAS LTD,MGL,MGL,Miscellaneous,https://halalstock.in/is-mahanagar-gas-ltd-halal-and-shariah-compliant/
MAHARASHTRA CORPORATION LTD.,MAHACORP,,Trading,https://halalstock.in/is-maharashtra-corporation-ltd-halal-and-shariah-compliant/
MAHARASHTRA SEAMLESS LTD.,MAHSEAMLES,MAHSEAMLES,Steel - Medium / Small,https://halalstock.in/is-maharashtra-seamless-ltd-halal-and-shariah-compliant/
Mahendra Realtors &amp; Infrastructure Ltd,,MRIL,Civil Construction,https://halalstock.in/is-mahendra-realtors-infrastructure-ltd-halal-and-shariah-compliant/
MAHICKRA CHEM.,,MAHICKRA,Dyes And Pigments,https://halalstock.in/is-mahickra-chem-halal-and-shariah-compliant/
MAHINDRA EPC IRRIGATION LTD,MAHEPC,MAHEPC,Plastics Products,https://halalstock.in/is-mahindra-epc-irrigation-ltd-halal-and-shariah-compliant/
MAHINDRA LIFESPACE DEVELOPERS LTD.,MAHLIFE,MAHLIFE,Construction,https://halalstock.in/is-mahindra-lifespace-developers-ltd-halal-and-shariah-compliant/
MAHINDRA LOGISTICS LTD,MAHLOG,MAHLOG,Miscellaneous,https://halalstock.in/is-mahindra-logistics-ltd-halal-and-shariah-compliant/
Maiden Forgings Ltd,MAIDEN,,Iron &amp; Steel Products,https://halalstock.in/is-maiden-forgings-ltd-halal-and-shariah-compliant/
MAITHAN ALLOYS LTD.,MAITHANALL,MAITHANALL,Mining / Minerals / Metals,https://halalstock.in/is-maithan-alloys-ltd-halal-and-shariah-compliant/
Maitreya Medicare Ltd,,MAITREYA,Hospital,https://halalstock.in/is-maitreya-medicare-ltd-halal-and-shariah-compliant/
MAKERS LABORATORIES LTD.,MAKERSL,,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-makers-laboratories-ltd-halal-and-shariah-compliant/
MALLCOM (INDIA) LTD,MALLCOM,MALLCOM,Textiles - Products,https://halalstock.in/is-mallcom-india-ltd-halal-and-shariah-compliant/
Mamata Machinery Limited,MAMATA,MAMATA,Industrial Products,https://halalstock.in/is-mamata-machinery-limited-halal-and-shariah-compliant/
MAN INDUSTRIES (INDIA) LTD.,MANINDS,MANINDS,Steel - Medium / Small,https://halalstock.in/is-man-industries-india-ltd-halal-and-shariah-compliant/
MANAKSIA COATED METALS &amp; INDUSTRIES LTD,MNKCMILTD,MANAKCOAT,Steel - Medium / Small,https://halalstock.in/is-manaksia-coated-metals-industries-ltd-halal-and-shariah-compliant/
MANAKSIA LTD.,MANAKSIA,MANAKSIA,Mining / Minerals / Metals,https://halalstock.in/is-manaksia-ltd-halal-and-shariah-compliant/
MANALI PETROCHEMICAL LTD.,MANALIPETC,MANALIPETC,Petrochemicals,https://halalstock.in/is-manali-petrochemical-ltd-halal-and-shariah-compliant/
MANDEEP AUTO INDUSTRIES LIMITED,,MANDEEP,Auto Components &amp; Equipments,https://halalstock.in/is-mandeep-auto-industries-limited-halal-and-shariah-compliant/
Mangal Electrical Industries Limited,MEIL,MEIL,Other Electrical Equipment,https://halalstock.in/is-mangal-electrical-industries-limited-halal-and-shariah-compliant/
MANGALAM SEEDS LTD,MSL,,Miscellaneous,https://halalstock.in/is-mangalam-seeds-ltd-halal-and-shariah-compliant/
Manglam Infra &amp; Engineering Limited,,MIEL,Consulting Services,https://halalstock.in/is-manglam-infra-engineering-limited-halal-and-shariah-compliant/
Mankind Pharma Ltd,MANKIND,MANKIND,Pharmaceuticals,https://halalstock.in/is-mankind-pharma-ltd-halal-and-shariah-compliant/
Manoj Jewellers Ltd,MANOJJEWEL,,"Gems, Jewellery And Watches",https://halalstock.in/is-manoj-jewellers-ltd-halal-and-shariah-compliant/
MANORAMA INDUSTRIES LTD,MANORAMA,MANORAMA,Solvent Extraction,https://halalstock.in/is-manorama-industries-ltd-halal-and-shariah-compliant/
MANUGRAPH INDIA LTD.,MANUGRAPH,MANUGRAPH,Engineering,https://halalstock.in/is-manugraph-india-ltd-halal-and-shariah-compliant/
Marc Loire Fashions Ltd,MARCLOIRE,,Footwear,https://halalstock.in/is-marc-loire-fashions-ltd-halal-and-shariah-compliant/
MARICO LTD.,MARICO,MARICO,Personal Care - Indian,https://halalstock.in/is-marico-ltd-halal-and-shariah-compliant/
MARINE ELECTRIC.,,MARINE,Electric Equipment,https://halalstock.in/is-marine-electric-halal-and-shariah-compliant/
Marinetrans India Ltd,,MARINETRAN,Logistics Solution Provider,https://halalstock.in/is-marinetrans-india-ltd-halal-and-shariah-compliant/
MARKSANS PHARMA LTD.,MARKSANS,MARKSANS,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-marksans-pharma-ltd-halal-and-shariah-compliant/
MARSONS LIMITED,MARSONS,,Electric Equipment,https://halalstock.in/is-marsons-limited-halal-and-shariah-compliant/
MARUTI INFRASTRUCTURE LTD.,MAINFRA,,Construction &amp; Engineering,https://halalstock.in/is-maruti-infrastructure-ltd-halal-and-shariah-compliant/
MARUTI SUZUKI INDIA LTD.,MARUTI,MARUTI,Automobiles - Passenger Cars,https://halalstock.in/is-maruti-suzuki-india-ltd-halal-and-shariah-compliant/
Marvel Decor,,MDL,Textiles - Products,https://halalstock.in/is-marvel-decor-halal-and-shariah-compliant/
MARVEL VINYLS LTD,MARVINY,,Commodity Chemicals,https://halalstock.in/is-marvel-vinyls-ltd-halal-and-shariah-compliant/
MASON INFRATECH LIMITED,,MASON,Residential Commercial Projects,https://halalstock.in/is-mason-infratech-limited-halal-and-shariah-compliant/
MASTEK LTD.,MASTEK,MASTEK,Computers - Software - Medium / Small,https://halalstock.in/is-mastek-ltd-halal-and-shariah-compliant/
Master Component,,MASTER,Plastics Products,https://halalstock.in/is-master-component-halal-and-shariah-compliant/
MATRIMONY.COM LTD,MATRIMONY,MATRIMONY,Miscellaneous,https://halalstock.in/is-matrimony-com-ltd-halal-and-shariah-compliant/
Matrix Geo Solutions Limited,,MGSL,IT Enabled Services,https://halalstock.in/is-matrix-geo-solutions-limited-halal-and-shariah-compliant/
MAWANA SUGARS LTD.,MAWANASUG,MAWANASUG,Sugar,https://halalstock.in/is-mawana-sugars-ltd-halal-and-shariah-compliant/
MAX ALERT SYSTEMS LTD.,MASL,,Miscellaneous,https://halalstock.in/is-max-alert-systems-ltd-halal-and-shariah-compliant/
MAX HEALTHCARE INSTITUTE LTD,MAXHEALTH,MAXHEALTH,Healthcare,https://halalstock.in/is-max-healthcare-institute-ltd-halal-and-shariah-compliant/
MAXIMUS INTERNATIONAL LTD,MAXIMUS,,Trading,https://halalstock.in/is-maximus-international-ltd-halal-and-shariah-compliant/
Maxvolt Energy Industries Limited,,MAXVOLT,Auto Components &amp; Equipments,https://halalstock.in/is-maxvolt-energy-industries-limited-halal-and-shariah-compliant/
Mayank Cattle Food Ltd,MCFL,,Animal Feed,https://halalstock.in/is-mayank-cattle-food-ltd-halal-and-shariah-compliant/
MAYUKH DEALTRADE LTD,MAYUKH,,Trading,https://halalstock.in/is-mayukh-dealtrade-ltd-halal-and-shariah-compliant/
MAYUR UNIQUOTERS LTD.,MAYURUNIQ,MAYURUNIQ,Plastics Products,https://halalstock.in/is-mayur-uniquoters-ltd-halal-and-shariah-compliant/
MAZDA LTD.,MAZDALTD,MAZDA,Engineering,https://halalstock.in/is-mazda-ltd-halal-and-shariah-compliant/
MCON Rasayan India Ltd,,MCON,Other Construction Materials,https://halalstock.in/is-mcon-rasayan-india-ltd-halal-and-shariah-compliant/
MEDIA MATRIX WORLDWIDE LTD.,MMWL,,Entertainment / Electronic Media Software,https://halalstock.in/is-media-matrix-worldwide-ltd-halal-and-shariah-compliant/
MEDICAMEN BIOTECH LTD.,MEDICAMEQ,MEDICAMEQ,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-medicamen-biotech-ltd-halal-and-shariah-compliant/
MEDICAMEN ORGANICS LIMITED,,MEDIORG,Pharmaceuticals,https://halalstock.in/is-medicamen-organics-limited-halal-and-shariah-compliant/
MEDI-CAPS LTD.,MEDICAPQ,,Pharmaceuticals,https://halalstock.in/is-medi-caps-ltd-halal-and-shariah-compliant/
MEDICO INTERCONTINENTAL LTD,MIL,,Trading,https://halalstock.in/is-medico-intercontinental-ltd-halal-and-shariah-compliant/
Medico Remedies Ltd,MEDICO,MEDICO,Pharmaceuticals,https://halalstock.in/is-medico-remedies-ltd-halal-and-shariah-compliant/
MEDINOVA DIAGNOSTIC SERVICES LTD.,MEDINOV,,Healthcare,https://halalstock.in/is-medinova-diagnostic-services-ltd-halal-and-shariah-compliant/
Medistep Healthcare Limited,,MEDISTEP,Personal Care,https://halalstock.in/is-medistep-healthcare-limited-halal-and-shariah-compliant/
Medplus Health Services Ltd,MEDPLUS,MEDPLUS,Food &amp; Drugs Retailing,https://halalstock.in/is-medplus-health-services-ltd-halal-and-shariah-compliant/
MEERA INDUSTRIES LTD,MEERA,,Textile Machinery,https://halalstock.in/is-meera-industries-ltd-halal-and-shariah-compliant/
Mega Flex Plast.,,MEGAFLEX,Packaging,https://halalstock.in/is-mega-flex-plast-halal-and-shariah-compliant/
Megatherm Induction Ltd,,MEGATHERM,Other Industrial Products,https://halalstock.in/is-megatherm-induction-ltd-halal-and-shariah-compliant/
MEGRI SOFT LTD,MEGRISOFT,,Computers - Software - Medium / Small,https://halalstock.in/is-megri-soft-ltd-halal-and-shariah-compliant/
Mehul Colours Ltd,MEHUL,,Specialty Chemicals,https://halalstock.in/is-mehul-colours-ltd-halal-and-shariah-compliant/
MENON BEARINGS LTD.,MENONBE,MENONBE,Bearings,https://halalstock.in/is-menon-bearings-ltd-halal-and-shariah-compliant/
MENON PISTONS LTD.,MENNPIS,,Auto Ancillaries,https://halalstock.in/is-menon-pistons-ltd-halal-and-shariah-compliant/
MERCANTILE VENTURES LTD,MERCANTILE,,Construction,https://halalstock.in/is-mercantile-ventures-ltd-halal-and-shariah-compliant/
Mercury Ev-Tech Ltd,MERCURYEV,,Passenger Cars &amp; Utility Vehicles,https://halalstock.in/is-mercury-metals-ltd-halal-and-shariah-compliant/
MERCURY LABORATORIES LTD,MERCURYLAB,,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-mercury-laboratories-ltd-halal-and-shariah-compliant/
Meson Valves India Ltd,MESON,,Other Industrial Products,https://halalstock.in/is-meson-valves-india-ltd-halal-and-shariah-compliant/
Meta Infotech Ltd,METAINFO,,IT Enabled Services,https://halalstock.in/is-meta-infotech-ltd-halal-and-shariah-compliant/
METAL COATINGS (INDIA) LTD.,METALCO,,Steel - Medium / Small,https://halalstock.in/is-metal-coatings-india-ltd-halal-and-shariah-compliant/
Metro Brands Ltd,METROBRAND,METROBRAND,Footwear,https://halalstock.in/is-metro-brands-ltd-halal-and-shariah-compliant/
METROPOLIS HEALTHCARE LTD,METROPOLIS,METROPOLIS,Healthcare,https://halalstock.in/is-metropolis-healthcare-ltd-halal-and-shariah-compliant/
Meyer Apparel Ltd,MAL,,"Textiles, Apparels &amp; Accessories",https://halalstock.in/is-meyer-apparel-ltd-halal-and-shariah-compliant/
MIC Electronics Limited,MICEL,MICEL,Technology,https://halalstock.in/is-mic-electronics-limited-halal-and-shariah-compliant/
Micropro Software Solutions Ltd,,MICROPRO,Computers - Software &amp; Consulting,https://halalstock.in/is-micropro-software-solutions-ltd-halal-and-shariah-compliant/
Midwest Limited,MIDWESTLTD,MIDWESTLTD,Granites &amp; Marbles,https://halalstock.in/is-midwest-limited-halal-and-shariah-compliant/
MILESTONE GLOBAL LTD.,MILESTONE,,Miscellaneous,https://halalstock.in/is-milestone-global-ltd-halal-and-shariah-compliant/
Millennium Online Solutions ( India ) Ltd,MILLENNIUM,,Misc.Commercial Services,https://halalstock.in/is-millennium-online-solutions-india-ltd-halal-and-shariah-compliant/
MINDA CORPORATION LTD,MINDACORP,MINDACORP,Auto Ancillaries,https://halalstock.in/is-minda-corporation-ltd-halal-and-shariah-compliant/
Mindpool Tech.,,MINDPOOL,Computers - Software - Medium / Small,https://halalstock.in/is-mindpool-tech-halal-and-shariah-compliant/
MINDTECK (INDIA) LTD.,MINDTECK,MINDTECK,Computers - Software - Medium / Small,https://halalstock.in/is-mindteck-india-ltd-halal-and-shariah-compliant/
MINI DIAMONDS (INDIA) LTD.,MINID,,Diamond Cutting / Jewellery,https://halalstock.in/is-mini-diamonds-india-ltd-halal-and-shariah-compliant/
MIRC ELECTRONICS LTD.,MIRCELECTR,MIRCELECTR,Electronics - Consumer,https://halalstock.in/is-mirc-electronics-ltd-halal-and-shariah-compliant/
MIRZA INTERNATIONAL LTD.,MIRZAINT,MIRZAINT,Leather / Leather Products,https://halalstock.in/is-mirza-international-ltd-halal-and-shariah-compliant/
Mish Designs Ltd,MISHDESIGN,,Garments &amp; Apparels,https://halalstock.in/is-mish-designs-ltd-halal-and-shariah-compliant/
MISHRA DHATU NIGAM LTD,MIDHANI,MIDHANI,Steel - Medium / Small,https://halalstock.in/is-mishra-dhatu-nigam-ltd-halal-and-shariah-compliant/
MISHTANN FOODS LTD,MISHTANN,,Food - Processing - Indian,https://halalstock.in/is-mishtann-foods-ltd-halal-and-shariah-compliant/
MISQUITA ENGINEERING LTD,MISQUITA,,Engineering,https://halalstock.in/is-misquita-engineering-ltd-halal-and-shariah-compliant/
MITSHI INDIA LTD,MITSHI,,Trading,https://halalstock.in/is-mitshi-india-ltd-halal-and-shariah-compliant/
MITSU CHEM PLAST LTD,MITSU,,Plastics Products,https://halalstock.in/is-mitsu-chem-plast-ltd-halal-and-shariah-compliant/
MITTAL LIFE STYL,,MITTAL,Textiles - Products,https://halalstock.in/is-mittal-life-styl-halal-and-shariah-compliant/
Mittal Sections,MITTALSTL,,Iron &amp; Steel Products,https://halalstock.in/is-mittal-sections-halal-and-shariah-compliant/
MK EXIM (INDIA) LTD,MKEXIM,,Textiles - Products,https://halalstock.in/is-mk-exim-india-ltd-halal-and-shariah-compliant/
MKP Mobility Ltd,MKPMOB,,Other Textile Products,https://halalstock.in/is-mkp-mobility-ltd-halal-and-shariah-compliant/
MM RUBBER COMPANY LTD.,MMRUBBR-B,,Miscellaneous,https://halalstock.in/is-mm-rubber-company-ltd-halal-and-shariah-compliant/
MMP INDUSTRIES,,MMP,Aluminium and Aluminium Products,https://halalstock.in/is-mmp-industries-halal-and-shariah-compliant/
MODERN DAIRIES LTD.,MODAIRY,,Food - Processing - Indian,https://halalstock.in/is-modern-dairies-ltd-halal-and-shariah-compliant/
MODERN INSULATORS LTD.,MODINSU,,Electric Equipment,https://halalstock.in/is-modern-insulators-ltd-halal-and-shariah-compliant/
Modern Threads (India) Ltd.,MODTHREAD,MODTHREAD,Textiles,https://halalstock.in/is-modern-threads-india-ltd-halal-and-shariah-compliant/
MODISON LTD.,MODISNME,MODISONLTD,Electric Equipment,https://halalstock.in/is-modison-metals-ltd-halal-and-shariah-compliant/
MOIL LTD.,MOIL,MOIL,Mining / Minerals / Metals,https://halalstock.in/is-moil-ltd-halal-and-shariah-compliant/
MOLD-TEK PACKAGING LIMITED,MOLDTKPAC,MOLDTKPAC,Plastics Products,https://halalstock.in/is-mold-tek-packaging-limited-halal-and-shariah-compliant/
